Generation,Max Fitness,Mean Fitness,Median Fitness,Min Fitness
0,0.34,0.046799999999999994,0.0,0.0
1,0.34,0.09553333333333333,0.0,0.0
2,0.34,0.16299999999999998,0.13333333333333333,0.0
3,0.35333333333333333,0.27893333333333337,0.3333333333333333,0.0
4,0.35333333333333333,0.28046666666666664,0.3333333333333333,0.0
5,0.6066666666666667,0.28426666666666667,0.3333333333333333,0.0
6,0.6066666666666667,0.2983333333333334,0.3333333333333333,0.0
7,0.6066666666666667,0.28240000000000004,0.3333333333333333,0.0
8,0.6066666666666667,0.2788,0.34,0.0
9,0.6066666666666667,0.31379999999999997,0.34,0.0
10,0.6066666666666667,0.27346666666666664,0.34,0.0
11,0.6066666666666667,0.29066666666666663,0.3466666666666667,0.0
12,0.6066666666666667,0.31366666666666665,0.3466666666666667,0.0
13,0.6066666666666667,0.3392,0.3466666666666667,0.0
14,0.6333333333333333,0.3544666666666667,0.35333333333333333,0.0
15,0.6333333333333333,0.38966666666666666,0.36666666666666664,0.0
16,0.64,0.45306666666666656,0.46,0.0
17,0.66,0.5012,0.6066666666666667,0.0
18,0.66,0.5231999999999999,0.6066666666666667,0.0
19,0.8733333333333333,0.5344666666666665,0.6066666666666667,0.0
20,0.8733333333333333,0.5414666666666667,0.62,0.0
21,0.8733333333333333,0.5344000000000001,0.62,0.0
22,0.8733333333333333,0.5462666666666667,0.6266666666666667,0.0
23,0.8733333333333333,0.5454000000000001,0.6333333333333333,0.0
24,0.8733333333333333,0.5763999999999999,0.6433333333333333,0.0
25,0.9466666666666667,0.5804666666666667,0.66,0.0
26,0.9466666666666667,0.5916,0.66,0.0
27,0.9466666666666667,0.5896666666666667,0.66,0.0
28,0.9466666666666667,0.6139333333333333,0.66,0.0
29,0.9466666666666667,0.6490666666666667,0.6733333333333333,0.0
30,0.9466666666666667,0.6730000000000002,0.6933333333333334,0.0
31,0.9466666666666667,0.7132,0.8133333333333334,0.0
32,0.9466666666666667,0.7315333333333334,0.8733333333333333,0.0
33,0.9466666666666667,0.7722666666666665,0.8733333333333333,0.0
34,0.9466666666666667,0.7574666666666667,0.9299999999999999,0.0
35,0.9466666666666667,0.79,0.9466666666666667,0.0
36,0.9466666666666667,0.8036666666666666,0.9466666666666667,0.0
37,0.9466666666666667,0.8207333333333334,0.9466666666666667,0.0
38,0.9466666666666667,0.8210666666666665,0.9466666666666667,0.0
39,0.9466666666666667,0.8168666666666665,0.9466666666666667,0.0
40,0.9466666666666667,0.8121333333333333,0.9466666666666667,0.0
41,0.9466666666666667,0.8078666666666666,0.9466666666666667,0.0
42,0.9533333333333334,0.8112,0.9466666666666667,0.0
43,0.9533333333333334,0.7971333333333334,0.9466666666666667,0.0
44,0.9533333333333334,0.8113333333333332,0.9466666666666667,0.0
45,0.9533333333333334,0.815,0.9466666666666667,0.0
46,0.9533333333333334,0.7924,0.9466666666666667,0.0
47,0.9533333333333334,0.8077333333333334,0.9466666666666667,0.0
48,0.9533333333333334,0.8243333333333333,0.9466666666666667,0.0
49,0.9533333333333334,0.8057999999999998,0.9466666666666667,0.0
50,0.9533333333333334,0.8146666666666667,0.9466666666666667,0.0
51,0.9533333333333334,0.8077999999999999,0.9466666666666667,0.0
52,0.9533333333333334,0.81,0.9466666666666667,0.0
53,0.9533333333333334,0.8425333333333331,0.9466666666666667,0.0
54,0.9533333333333334,0.8414,0.9533333333333334,0.0
55,0.9533333333333334,0.8460666666666667,0.9533333333333334,0.0
56,0.9533333333333334,0.8360666666666667,0.9533333333333334,0.0
57,0.9533333333333334,0.8362666666666666,0.9533333333333334,0.0
58,0.9533333333333334,0.8666666666666667,0.9533333333333334,0.0
59,0.9533333333333334,0.8507333333333333,0.9533333333333334,0.0
60,0.9533333333333334,0.8443999999999999,0.9533333333333334,0.0
61,0.9533333333333334,0.8361333333333332,0.9533333333333334,0.0
62,0.9533333333333334,0.8486666666666666,0.9533333333333334,0.0
63,0.9533333333333334,0.8436666666666666,0.9533333333333334,0.0
64,0.9533333333333334,0.8595333333333331,0.9533333333333334,0.0
65,0.9533333333333334,0.8246666666666667,0.9533333333333334,0.0
66,0.9533333333333334,0.86,0.9533333333333334,0.0
67,0.9533333333333334,0.8402000000000003,0.9533333333333334,0.0
68,0.9533333333333334,0.8255333333333332,0.9533333333333334,0.31333333333333335
69,0.9533333333333334,0.8604666666666665,0.9533333333333334,0.0
70,0.9533333333333334,0.8364000000000001,0.9533333333333334,0.0
71,0.9533333333333334,0.8466,0.9533333333333334,0.0
72,0.9533333333333334,0.8237333333333333,0.9533333333333334,0.0
73,0.9533333333333334,0.8325999999999999,0.9533333333333334,0.0
74,0.9533333333333334,0.8710666666666665,0.9533333333333334,0.0
75,0.9533333333333334,0.8496666666666666,0.9533333333333334,0.0
76,0.9533333333333334,0.8420666666666666,0.9533333333333334,0.0
77,0.9533333333333334,0.8268666666666666,0.9533333333333334,0.0
78,0.9533333333333334,0.8142,0.9533333333333334,0.0
79,0.9533333333333334,0.8760666666666669,0.9533333333333334,0.0
80,0.9533333333333334,0.8743333333333331,0.9533333333333334,0.3333333333333333
81,0.9533333333333334,0.8291333333333334,0.9533333333333334,0.0
82,0.9533333333333334,0.8751333333333333,0.9533333333333334,0.0
83,0.9533333333333334,0.8216666666666668,0.9533333333333334,0.0
84,0.9533333333333334,0.8384666666666667,0.9533333333333334,0.0
